id,startDate,endDate,type,name,regionalScope,temporalScope,nationwide,subdivisions
651242c7-1d42-448c-ac75-9cb9085afc67,2022-08-08,2022-08-08,Public,Friedensfest,Local,FullDay,False,BY-AU
54dd812d-4b01-4e38-a6de-9fccdb77130e,2022-08-15,2022-08-15,Public,Mariä Himmelfahrt,Regional,FullDay,False,"BY, SL"
279a6957-3e76-4b00-bdee-340a2f219ac9,2022-09-20,2022-09-20,Public,Weltkindertag,Regional,FullDay,False,TH
a537e0cb-c2a1-448a-bee5-49430351f0ad,2022-10-03,2022-10-03,Public,Tag der Deutschen Einheit,National,FullDay,True,
0854bf7a-f2b0-4773-b65f-98744f9b9a10,2022-10-31,2022-10-31,Public,Reformationstag,Regional,FullDay,False,"HH, SH, BB, HB, MV, TH, SN, ST, NI"
3eab31ad-460c-40b5-99ca-0cfcc627c146,2022-11-01,2022-11-01,Public,Allerheiligen,Regional,FullDay,False,"BW, BY, RP, NW, SL"
2b59f1b4-9e37-406b-99a4-2a96de54e38a,2022-11-16,2022-11-16,Public,Buß- und Bettag,Regional,FullDay,False,SN
943c023f-53e0-4824-b13b-cae6a31fe254,2022-12-25,2022-12-25,Public,1. Weihnachtsfeiertag,Regional,FullDay,True,
d764e01f-db2f-4f94-8f9d-b85b9157ddf2,2022-12-26,2022-12-26,Public,2. Weihnachtsfeiertag,Regional,FullDay,True,
94498ba1-28e3-4dcd-b28f-d7aaf4cc56d7,2023-01-01,2023-01-01,Public,Neujahr,Regional,FullDay,True,
04f86fc2-424a-46e5-befd-2dce33158470,2023-01-06,2023-01-06,Public,Heilige Drei Könige,Regional,FullDay,False,"BW, BY, ST"
88848d07-197b-4b4f-91f6-3cb24a378384,2023-03-08,2023-03-08,Public,Internationaler Frauentag,Regional,FullDay,False,"BE, MV"
b921a500-5e7e-42b6-9348-885f3157ed4c,2023-04-07,2023-04-07,Public,Karfreitag,Regional,FullDay,True,
6ffa6452-099c-494b-a920-aeaa7adc261a,2023-04-09,2023-04-09,Public,Ostersonntag,Regional,FullDay,False,BB
2cc013e7-7079-4c89-a559-27efca5c7b78,2023-04-10,2023-04-10,Public,Ostermontag,Regional,FullDay,True,
1e25e6a2-85fe-46dd-9fab-9388df4a445c,2023-05-01,2023-05-01,Public,Tag der Arbeit,Regional,FullDay,True,
c18498e4-d3a7-4e27-8ea3-18e396c2d785,2023-05-18,2023-05-18,Public,Christi Himmelfahrt,Regional,FullDay,True,
31c384f2-709c-4c55-8af4-f550b8e1006b,2023-05-28,2023-05-28,Public,Pfingstsonntag,Regional,FullDay,False,BB
9730d923-2686-4d44-8fa5-b4c46a1937f8,2023-05-29,2023-05-29,Public,Pfingstmontag,Regional,FullDay,True,
